61.82.39.134 - - [27/Mar/2024:03:07:10 +0000] "GET /api/v1/project/projects HTTP/1.1" 200 2226 "https://jamalabdi.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
61.82.39.134 - - [27/Mar/2024:03:07:11 +0000] "GET /static/media/mypic.8746354756dc308c79b4.jpg HTTP/1.1" 200 821371 "https://jamalabdi.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
61.82.39.134 - - [27/Mar/2024:03:10:36 +0000] "GET /.env HTTP/1.1" 200 714 "-" "insomnia/8.6.1"
61.82.39.134 - - [27/Mar/2024:03:10:38 +0000] "GET /static/css/main.42e3af66.css HTTP/1.1" 200 23280 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Insomnia/8.6.1 Chrome/120.0.6099.56 Electron/28.0.0 Safari/537.36"
61.82.39.134 - - [27/Mar/2024:03:10:38 +0000] "GET /static/js/main.63a65573.js HTTP/1.1" 200 280095 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Insomnia/8.6.1 Chrome/120.0.6099.56 Electron/28.0.0 Safari/537.36"
61.82.39.134 - - [27/Mar/2024:03:11:38 +0000] "GET /api/v1/.env HTTP/1.1" 200 714 "-" "insomnia/8.6.1"
61.82.39.134 - - [27/Mar/2024:03:15:43 +0000] "GET /.env HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
45.79.128.205 - - [27/Mar/2024:03:36:25 +0000] "GET / HTTP/1.1" 200 407 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
135.148.195.13 - - [27/Mar/2024:03:38:22 +0000] "GET / HTTP/1.1" 200 407 "-" "Mozilla/5.0 (Windows NT 10.0; rv:114.0) Gecko/20100101 Firefox/114.0"
135.148.195.1 - - [27/Mar/2024:03:38:31 +0000] "GET /favicon.ico HTTP/1.1" 200 15086 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
